導杒抧曽丂娐嫬曻幩擻應掕寢壥乮巄掕抣乯,,,,乮暯惉23擭4寧1擔乣30擔乯,,,,,,,,儌僯僞儕儞僌俀亅侾(導杒),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,(14帪40暘),(14帪30暘),(15帪00暘),(14帪07暘),(15帪30暘),(13帪24暘),(13帪40暘),(13帪55暘),(13帪18暘),(15帪33暘),(14帪13暘),(16帪18暘),(16帪28暘),,,,,,,,,
,1夞栚,0.95,1.31,1.53,1.28,2.10,1.53,0.64,1.30,2.41,1.20,3.28,1.33,1.56,,,,,,,,,
4寧7擔,,(10帪40暘),(10帪28暘),(11帪02暘),(10帪04暘),(11帪37暘),(9帪21暘),(9帪35暘),(9帪30暘),(8帪53暘),(10帪37暘),(9帪49暘),(11帪15暘),(11帪30暘),,,,,,,,,
(栘),2夞栚,0.82,1.39,1.69,1.11,1.85,1.38,0.71,1.32,2.30,1.16,3.26,1.33,1.57,,,,,,,,,
,,(14帪39暘),(14帪30暘),(15帪09暘),(14帪06暘),(15帪36暘),(13帪24暘),(13帪37暘),(14帪01暘),(13帪24暘),(14帪59暘),(14帪20暘),(15帪50暘),(15帪39暘),,,,,,,,,
,1夞栚,0.88,1.60,1.34,1.16,1.83,1.09,0.57,1.35,2.34,1.27,3.49,1.31,1.43,,,,,,,,,
4寧8擔,,(10帪45暘),(10帪39暘),(11帪17暘),(10帪15暘),(11帪45暘),(9帪28暘),(9帪45暘),(9帪56暘),(9帪23暘),(10帪34暘),(10帪18暘),(11帪13暘),(11帪22暘),,,,,,,,,
(嬥),2夞栚,0.87,1.22,1.24,1.22,1.68,1.16,0.60,1.33,2.27,1.19,3.31,1.29,1.71,,,,,,,,,
,,(15帪02暘),(14帪46暘),(15帪26暘),(14帪20暘),(15帪57暘),(13帪30暘),(13帪47暘),(14帪03暘),(13帪29暘),(14帪53暘),(14帪25暘),(15帪35暘),(15帪46暘),,,,,,,,,
,1夞栚,1.07,1.34,0.93,1.16,1.79,1.35,0.47,1.14,2.18,1.10,3.13,1.09,1.73,,,,,,,,,
4寧9擔,,(10帪20暘),(10帪10暘),(10帪54暘),(9帪48暘),(11帪28暘),(8帪59暘),(9帪14暘),(9帪45暘),(9帪05暘),(9帪25暘),(10帪07暘),(11帪25暘),(11帪15暘),,,,,,,,,
(搚),2夞栚,0.94,1.33,0.97,1.24,1.79,1.37,0.49,1.19,2.23,1.17,3.08,1.19,1.66,,,,,,,,,
,,(14帪26暘),(14帪17暘),(14帪48暘),(13帪47暘),(15帪28暘),(13帪09暘),(13帪21暘),(14帪00暘),(13帪20暘),(14帪45暘),(14帪25暘),(15帪35暘),(15帪25暘),,,,,,,,,
,1夞栚,0.77,1.51,1.48,1.12,1.72,0.97,0.44,1.30,2.40,1.18,3.30,1.17,1.80,,,,,,,,,
4寧10擔,,(10帪27暘),(10帪17暘),(10帪47暘),(9帪55暘),(11帪15暘),(9帪10暘),(9帪24暘),(9帪20暘),(8帪43暘),(9帪45暘),(9帪32暘),(10帪32暘),(10帪24暘),,,,,,,,,
(擔),2夞栚,0.77,1.35,1.46,1.08,1.91,0.92,0.44,1.25,2.29,1.20,3.15,1.22,1.82,,,,,,,,,
,,(14帪42暘),(14帪34暘),(15帪00暘),(14帪10暘),(15帪29暘),(13帪27暘),(13帪42暘),(13帪41暘),(13帪10暘),(14帪11暘),(13帪58暘),(14帪57暘),(14帪50暘),,,,,,,,,
,1夞栚,0.81,1.18,1.36,1.18,1.67,1.08,0.49,1.18,2.17,1.06,2.84,1.16,1.53,,,,,,,,,
4寧11擔,,(10帪17暘),(10帪09暘),(10帪35暘),(9帪50暘),(11帪06暘),(9帪10暘),(9帪22暘),(9帪30暘),(8帪54暘),(10帪08暘),(9帪52暘),(10帪50暘),(11帪00暘),,,,,,,,,
(寧),2夞栚,0.79,1.21,1.46,1.15,1.38,1.12,0.52,1.14,2.20,1.11,2.86,1.12,1.32,,,,,,,,,
,,(14帪42暘),(14帪32暘),(15帪06暘),(14帪10暘),(15帪37暘),(13帪27暘),(13帪40暘),(13帪40暘),(13帪12暘),(14帪16暘),(14帪01暘),(14帪53暘),(15帪02暘),,,,,,,,,
,1夞栚,0.78,1.11,1.53,1.51,1.46,1.05,0.49,1.22,2.28,1.07,3.02,1.27,1.55,,,,,,,,,
4寧12擔,,(10帪37暘),(10帪25暘),(10帪57暘),(9帪57暘),(11帪30暘),(9帪15暘),(9帪30暘),(9帪37暘),(8帪03暘),(10帪15暘),(10帪00暘),(10帪51暘),(11帪01暘),,,,,,,,,
(壩),2夞栚,0.77,1.09,1.45,1.59,1.49,0.96,0.49,1.10,2.31,1.11,3.08,1.02,1.45,,,,,,,,,
,,(14帪41暘),(14帪34暘),(14帪58暘),(14帪07暘),(15帪34暘),(13帪25暘),(13帪38暘),(14帪03暘),(13帪23暘),(15帪07暘),(14帪23暘),(16帪02暘),(15帪52暘),,,,,,,,,
,1夞栚,0.77,1.14,1.31,1.05,1.53,1.09,0.48,1.20,2.33,1.12,3.29,1.25,1.45,,,,,,,,,
4寧13擔,,(10帪16暘),(10帪07暘),(10帪34暘),(9帪46暘),(11帪13暘),(9帪10暘),(9帪20暘),(9帪42暘),(9帪05暘),(10帪26暘),(10帪10暘),(11帪04暘),(11帪13暘),,,,,,,,,
(悈),2夞栚,0.76,1.18,1.29,1.05,1.73,1.09,0.48,1.13,2.25,1.10,2.97,1.23,1.52,,,,,,,,,
,,(14帪39暘),(14帪30暘),(15帪09暘),(14帪06暘),(15帪37暘),(13帪25暘),(13帪37暘),(13帪49暘),(13帪09暘),(14帪23暘),(14帪05暘),(15帪02暘),(15帪11暘),,,,,,,,,
,1夞栚,0.80,1.11,1.34,1.07,1.46,1.12,0.55,1.13,2.24,1.08,2.82,1.15,1.59,,,,,,,,,
4寧14擔,,(10帪35暘),(10帪25暘),(11帪00暘),(10帪01暘),(11帪31暘),(9帪15暘),(9帪32暘),(9帪40暘),(9帪07暘),(10帪17暘),(10帪01暘),(11帪03暘),(11帪12暘),,,,,,,,,
(栘),2夞栚,0.77,1.10,1.21,1.03,1.60,1.19,0.51,1.19,2.06,1.00,2.79,1.18,1.75,,,,,,,,,
,,(14帪56暘),(14帪45暘),(15帪37暘),(14帪17暘),(16帪10暘),(13帪32暘),(13帪47暘),(13帪50暘),(13帪12暘),(14帪31暘),(14帪12暘),(15帪15暘),(15帪25暘),,,,,,,,,
,1夞栚,0.76,1.08,1.32,1.04,1.61,1.10,0.45,1.15,1.97,1.08,2.88,1.01,1.38,,,,,,,,,
4寧15擔,,(10帪20暘),(10帪10暘),(10帪46暘),(9帪47暘),(11帪25暘),(9帪05暘),(9帪17暘),(9帪40暘),(9帪00暘),(10帪20暘),(10帪00暘),(11帪08暘),(11帪00暘),,,,,,,,,
(嬥),2夞栚,0.75,1.05,1.24,1.06,1.57,1.08,0.43,1.12,2.14,1.06,2.89,1.17,1.48,,,,,,,,,
,,(15帪10暘),(14帪57暘),(15帪45暘),(14帪30暘),(16帪10暘),(13帪37暘),(13帪53暘),(13帪54暘),(13帪18暘),(14帪33暘),(14帪15暘),(15帪23暘),(15帪33暘),,,,,,,,,
,1夞栚,0.72,1.09,1.31,1.17,1.64,0.90,0.44,1.05,2.25,1.08,,1.11,1.62,,,,,,,,,
4寧16擔,,(10帪18暘),(10帪10暘),(10帪38暘),(9帪48暘),(11帪03暘),(9帪08暘),(9帪19暘),(9帪41暘),(9帪00暘),(9帪58暘),,(10帪45暘),(10帪55暘),,,,,,,,,
(搚),2夞栚,0.77,1.02,1.29,1.19,1.47,0.89,0.47,1.12,2.12,1.02,,1.15,1.38,,,,,,,,,
,,(14帪32暘),(14帪24暘),(14帪49暘),(13帪58暘),(15帪18暘),(13帪24暘),(13帪35暘),(14帪05暘),(13帪27暘),(14帪23暘),,(15帪38暘),(15帪49暘),,,,,,,,,
,1夞栚,0.73,1.13,1.35,1.13,1.62,1.02,0.44,1.11,2.08,1.07,2.93,1.09,1.41,,,,,,,,,
4寧17擔,,(10帪08暘),(9帪58暘),(10帪43暘),(9帪38暘),(11帪22暘),(8帪57暘),(9帪09暘),(9帪35暘),(9帪03暘),(10帪28暘),(9帪57暘),(11帪17暘),(11帪26暘),,,,,,,,,
(擔),2夞栚,0.72,1.07,1.28,1.00,1.49,0.79,0.44,1.19,2.17,1.19,2.95,1.14,1.61,,,,,,,,,
,,(14帪38暘),(14帪28暘),(14帪58暘),(14帪08暘),(15帪30暘),(13帪26暘),(13帪40暘),(13帪47暘),(13帪13暘),(14帪25暘),(14帪07暘),(15帪10暘),(15帪18暘),,,,,,,,,
,1夞栚,0.77,1.21,1.43,1.05,1.65,1.20,0.60,1.06,2.20,1.06,2.95,1.09,1.44,,,,,,,,,
4寧18擔,,(10帪36暘),(10帪25暘),(11帪11暘),(9帪58暘),(11帪47暘),(9帪11暘),(9帪28暘),(9帪35暘),(9帪01暘),(10帪12暘),(9帪55暘),(11帪02暘),(10帪54暘),,,,,,,,,
(寧),2夞栚,0.76,1.09,1.39,1.01,1.55,1.15,0.57,1.15,1.92,1.03,2.72,1.12,1.52,,,,,,,,,
,,(15帪01暘),(14帪35暘),(15帪23暘),(14帪09暘),(16帪06暘),(13帪26暘),(13帪42暘),(13帪43暘),(13帪10暘),(14帪40暘),(14帪05暘),(15帪21暘),(15帪33暘),,,,,,,,,
,1夞栚,0.82,1.09,1.24,1.75,1.43,0.85,0.45,0.74,1.26,0.76,2.02,0.71,1.07,,,,,,,,,
4寧19擔,,(10帪16暘),(10帪07暘),(10帪35暘),(9帪47暘),(11帪05暘),(9帪20暘),(9帪42暘),(9帪45暘),(9帪10暘),(10帪25暘),(10帪05暘),(11帪05暘),(11帪15暘),,,,,,,,,
(壩),2夞栚,0.77,1.08,1.24,1.77,1.50,0.81,0.46,0.78,1.43,0.72,1.96,0.77,0.99,,,,,,,,,
,,(14帪50暘),(14帪40暘),(15帪10暘),(14帪15暘),(15帪40暘),(13帪30暘),(13帪45暘),(13帪50暘),(13帪15暘),(14帪28暘),(14帪11暘),(15帪05暘),(15帪15暘),,,,,,,,,
,1夞栚,0.71,1.08,1.28,1.35,1.33,0.77,0.44,0.84,1.52,0.75,1.98,0.86,0.97,,,,,,,,,
4寧20擔,,(10帪30暘),(10帪20暘),(10帪45暘),(9帪55暘),(11帪20暘),(9帪17暘),(9帪28暘),(9帪35暘),(9帪01暘),(10帪12暘),(9帪55暘),(11帪05暘),(10帪54暘),,,,,,,,,
(悈),2夞栚,0.71,1.07,1.41,1.29,1.20,0.68,0.48,0.76,1.43,0.74,2.01,0.76,0.89,,,,,,,,,
,,(14帪42暘),(14帪33暘),(15帪08暘),(14帪06暘),(15帪45暘),(13帪28暘),(13帪40暘),(13帪47暘),(13帪10暘),(14帪23暘),(14帪07暘),(15帪02暘),(15帪13暘),,,,,,,,,
,1夞栚,0.72,1.08,1.18,0.92,1.57,0.95,0.49,0.80,1.46,0.77,1.89,0.74,1.04,,,,,,,,,
4寧21擔,,(10帪19暘),(10帪11暘),(10帪36暘),(9帪47暘),(11帪14暘),(9帪08暘),(9帪21暘),(9帪40暘),(9帪04暘),(10帪24暘),(10帪02暘),(11帪09暘),(11帪17暘),,,,,,,,,
(栘),2夞栚,0.69,0.97,1.17,0.89,1.58,0.87,0.44,0.80,1.50,0.75,1.93,0.77,1.02,,,,,,,,,
,,(14帪43暘),(14帪32暘),(15帪03暘),(14帪07暘),(15帪39暘),(13帪26暘),(13帪37暘),(13帪42暘),(13帪05暘),(14帪15暘),(14帪00暘),(15帪03暘),(14帪54暘),,,,,,,,,
,1夞栚,0.72,1.30,1.21,0.97,1.57,1.10,0.40,0.79,1.41,0.74,,0.76,1.01,,,,,,,,,
4寧22擔,,(10帪40暘),(10帪26暘),(11帪10暘),(9帪56暘),(11帪38暘),(9帪13暘),(9帪27暘),(9帪41暘),(9帪06暘),(10帪00暘),,(10帪41暘),(10帪52暘),,,,,,,,,
(嬥),2夞栚,0.72,1.03,1.22,1.03,1.71,1.01,0.46,0.77,1.48,0.76,,0.75,0.97,,,,,,,,,
,,(14帪54暘),(14帪35暘),(15帪16暘),(14帪07暘),(15帪54暘),(13帪27暘),(13帪40暘),(14帪20暘),(13帪44暘),(14帪35暘),,(15帪49暘),(16帪07暘),,,,,,,,,
,1夞栚,0.72,0.82,0.91,0.90,1.33,0.75,0.37,0.80,1.38,0.75,,0.71,1.05,,,,,,,,,
4寧23擔,,(10帪08暘),(10帪00暘),(10帪31暘),(9帪37暘),(10帪56暘),(8帪55暘),(9帪09暘),(9帪41暘),(9帪06暘),(9帪57暘),,(10帪43暘),(10帪53暘),,,,,,,,,
(搚),2夞栚,0.81,0.99,1.16,1.02,1.65,0.76,0.43,0.83,1.50,0.74,,0.74,1.01,,,,,,,,,
,,(14帪34暘),(14帪26暘),(14帪51暘),(14帪02暘),(15帪21暘),(13帪20暘),(13帪34暘),(13帪52暘),(13帪15暘),(14帪10暘),,(15帪00暘),(15帪50暘),,,,,,,,,
,1夞栚,0.67,0.99,1.13,0.81,1.70,0.98,0.49,0.80,1.40,0.74,,0.68,1.07,,,,,,,,,
4寧24擔,,(10帪15暘),(10帪06暘),(10帪35暘),(9帪43暘),(11帪06暘),(9帪06暘),(9帪18暘),(9帪35暘),(9帪00暘),(9帪53暘),,(10帪40暘),(10帪55暘),,,,,,,,,
(擔),2夞栚,0.65,1.02,1.20,0.88,1.53,1.00,0.48,0.76,1.46,0.78,,0.68,1.10,,,,,,,,,
,,(14帪33暘),(14帪22暘),(14帪51暘),(13帪56暘),(15帪18暘),(13帪16暘),(13帪29暘),(13帪55暘),(13帪17暘),(14帪12暘),,(15帪15暘),(15帪05暘),,,,,,,,,
,1夞栚,0.63,1.07,1.17,0.89,1.27,0.87,0.43,0.77,1.39,0.72,,0.64,1.01,,,,,,,,,
4寧25擔,,(10帪23暘),(10帪07暘),(10帪44暘),(9帪46暘),(11帪19暘),(9帪06暘),(9帪18暘),(9帪50暘),(9帪16暘),(10帪06暘),,(10帪50暘),(11帪00暘),,,,,,,,,
(寧),2夞栚,0.65,1.13,1.23,0.98,1.60,0.94,0.46,0.76,1.45,0.71,,0.66,0.88,,,,,,,,,
,,(14帪42暘),(14帪33暘),(15帪01暘),(14帪08暘),(15帪39暘),(13帪27暘),(13帪40暘),(13帪43暘),(13帪11暘),(14帪00暘),,(14帪55暘),(14帪48暘),,,,,,,,,
,1夞栚,0.74,1.22,1.33,0.91,1.55,1.10,0.44,0.84,1.49,0.74,,0.66,0.95,,,,,,,,,
4寧26擔,,(10帪33暘),(10帪21暘),(10帪54暘),(9帪53暘),(11帪36暘),(9帪09暘),(9帪22暘),(9帪35暘),(9帪00暘),(10帪02暘),,(10帪48暘),(10帪38暘),,,,,,,,,
(壩),2夞栚,0.62,1.10,1.13,0.91,1.46,0.99,0.44,0.76,1.43,0.72,,0.64,1.02,,,,,,,,,
,,(14帪55暘),(14帪45暘),(15帪31暘),(14帪20暘),(16帪02暘),(13帪32暘),(13帪46暘),(14帪13暘),(13帪13暘),(14帪32暘),,(15帪16暘),(15帪25暘),,,,,,,,,
,1夞栚,0.75,0.95,1.07,0.89,1.34,0.81,0.38,0.79,1.40,0.72,,0.67,0.98,,,,,,,,,
4寧27擔,,(10帪35暘),(10帪26暘),(10帪50暘),(10帪03暘),(11帪16暘),(9帪22暘),(9帪35暘),(9帪49暘),(11帪26暘),(10帪06暘),,(11帪05暘),(10帪55暘),,,,,,,,,
(悈),2夞栚,0.68,0.95,0.90,1.01,1.35,0.71,0.35,0.83,1.43,0.75,,0.65,0.95,,,,,,,,,
,,(14帪55暘),(14帪45暘),(15帪15暘),(14帪20暘),(15帪45暘),(13帪35暘),(13帪55暘),(13帪55暘),(13帪17暘),(14帪12暘),,(15帪20暘),(15帪31暘),,,,,,,,,
,1夞栚,0.65,1.05,1.09,0.86,1.42,0.85,0.45,0.70,1.36,0.66,,0.61,0.98,,,,,,,,,
4寧28擔,,(10帪13暘),(10帪04暘),(10帪34暘),(9帪43暘),(11帪15暘),(9帪04暘),(9帪16暘),(10帪08暘),(9帪37暘),(10帪24暘),,(11帪11暘),(11帪00暘),,,,,,,,,
(栘),2夞栚,0.77,1.01,1.10,0.84,1.40,0.85,0.45,0.71,1.35,0.68,,0.62,0.97,,,,,,,,,
,,(14帪41暘),(14帪30暘),(15帪01暘),(14帪07暘),(15帪39暘),(13帪25暘),(13帪39暘),(14帪03暘),(13帪25暘),(14帪20暘),,(15帪42暘),(15帪52暘),,,,,,,,,
,1夞栚,0.66,1.03,1.25,0.97,1.43,0.86,0.38,0.73,1.39,0.72,,0.65,0.83,,,,,,,,,
4寧29擔,,(10帪25暘),(10帪16暘),(10帪45暘),(9帪54暘),(11帪15暘),(9帪11暘),(9帪26暘),(10帪10暘),(9帪25暘),(9帪51暘),,(11帪19暘),(11帪29暘),,,,,,,,,
(嬥),2夞栚,0.66,0.98,1.23,0.96,1.36,0.87,0.42,0.75,1.44,0.72,,0.61,1.02,,,,,,,,,
,,(14帪24暘),(14帪15暘),(14帪42暘),(13帪53暘),(15帪04暘),(13帪15暘),(13帪28暘),(13帪58暘),(13帪19暘),(13帪43暘),,(14帪40暘),(14帪52暘),,,,,,,,,
,1夞栚,0.69,1.28,1.21,0.86,1.49,1.09,0.51,0.74,1.46,0.72,,0.68,1.04,,,,,,,,,
4寧30擔,,(10帪20暘),(10帪07暘),(10帪45暘),(9帪40暘),(11帪25暘),(8帪57暘),(9帪13暘),(9帪35暘),(8帪55暘),(9帪50暘),,(10帪26暘),(10帪35暘),,,,,,,,,
(搚),2夞栚,0.67,1.02,1.18,0.82,1.48,0.93,0.44,0.71,1.52,0.77,,0.67,1.06,,,,,,,,,
,,(14帪55暘),(14帪44暘),(15帪14暘),(14帪15暘),(15帪40暘),(13帪30暘),(13帪45暘),(13帪58暘),(13帪19暘),(14帪10暘),,(14帪54暘),(15帪04暘),,,,,,,,,
"仸棷堄揰侾丂偙傟傑偱偺掕揰偱偺應掕抣偵壛偊丄娐嫬曻幩擻應掕抣偺崅偄抧堟廃曈傪堏摦偟偰應掕偟偨寢壥偱偡丅
仸棷堄揰俀丂應掕憰抲偼慡偰僒乕儀僀儊乕僞偱偡丅",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
導拞抧曽丂娐嫬曻幩擻應掕寢壥乮巄掕抣乯,,,,乮暯惉23擭4寧1擔乣30擔乯,,,,,,,,,,儌僯僞儕儞僌俀亅俀(導拞),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,扨埵丗兪Gy/h佮兪Sv/倛乮喜港皋诓/帪娫佮喜港及娃倌/帪娫乯,,,,,,,
,,"嶰弔挰
栶応",孲嶳巗栶強,暉搰導擾嬈憤崌僙儞僞乕,價僢僌僷儗僢僩傆偔偟傑,孲嶳巗棫揷曣恄彫妛峑,孲嶳巗埀悾峴惌僙儞僞乕,"恵夑愳
巗栶強","彫栰挰
栶応","愇愳挰
栶応","屆揳挰
栶応","嬀愇挰
栶応","揤塰懞
栶応","嬍愳懞
栶応","愺愳挰
栶応","暯揷懞
栶応",,,,,,,
暉搰戞堦尨敪偐傜偺曽岦媦傃嫍棧,,"惣
栺係俉Km","惣
栺俇侽km","惣
栺俆俈km","惣
栺俆俉km","惣撿惣
栺係俇km","惣
栺俇俉km","惣撿惣
栺俇侽Km","惣撿惣
栺俁俋Km","惣撿惣
栺俇侽Km","撿惣
栺俆俇Km","惣撿惣
栺俇係Km","惣撿惣
栺俈俀Km","惣撿惣
栺俇侽Km","撿惣
栺俇俈Km","惣撿惣
栺係俈Km",,,,,,,
,1夞栚,0.51,2.14,1.89,1.33,0.4,1.2,0.40,0.17,0.22,0.23,0.44,1.56,0.25,0.25,0.23,,,,,,,
4寧1擔,,(9帪38暘),(9帪12暘),(9帪13暘),(8帪54暘),(9帪00暘),(9帪00暘),(11帪37暘),(10帪13暘),(11帪02暘),(11帪02暘),(10帪19暘),(9帪55暘),(10帪40暘),(11帪28暘),(10帪35暘),,,,,,,
(嬥),2夞栚,0.49,1.93,1.88,1.25,1.2,1.0,0.41,0.17,0.21,0.23,0.48,1.53,0.26,0.25,0.20,,,,,,,
,,(13帪45暘),(15帪28暘),(13帪16暘),(16帪19暘),(15帪00暘),(15帪00暘),(14帪01暘),(14帪20暘),(13帪19暘),(15帪10暘),(14帪17暘),(14帪39暘),(13帪38暘),(15帪40暘),(14帪42暘),,,,,,,
,1夞栚,0.48,1.96,1.76,1.27,1.1,1.1,0.41,0.17,0.22,0.23,0.47,1.79,0.27,0.24,0.23,,,,,,,
4寧2擔,,(9帪20暘),(8帪59暘),(8帪56暘),(8帪42暘),(9帪00暘),(9帪00暘),(11帪15暘),(9帪54暘),(10帪42暘),(10帪49暘),(9帪57暘),(9帪37暘),(10帪22暘),(11帪18暘),(10帪16暘),,,,,,,
(搚),2夞栚,0.48,1.92,1.76,1.22,1.2,1.1,0.40,0.18,0.20,0.22,0.44,1.74,0.26,0.24,0.22,,,,,,,
,,(13帪41暘),(14帪59暘),(13帪18暘),(15帪26暘),(15帪00暘),(15帪00暘),(13帪31暘),(14帪10暘),(12帪51暘),(14帪58暘),(13帪48暘),(14帪12暘),(13帪11暘),(15帪25暘),(14帪30暘),,,,,,,
,1夞栚,0.49,1.94,1.70,1.31,0.4,1.1,0.42,0.16,0.21,0.23,0.46,1.78,0.28,0.23,0.23,,,,,,,
4寧3擔,,(9帪29暘),(9帪16暘),(9帪05暘),(9帪01暘),(9帪00暘),(9帪00暘),(11帪38暘),(10帪03暘),(11帪03暘),(10帪52暘),(10帪22暘),(9帪56暘),(10帪43暘),(11帪20暘),(10帪25暘),,,,,,,
(擔),2夞栚,0.49,1.81,1.72,1.16,1.9,1.1,0.35,0.17,0.19,0.22,0.45,1.60,0.25,0.21,0.23,,,,,,,
